Time	[AKT_mod_slash_PIP3_AKT_thr308]	[BDNF]	[CaMKIII_star]	[Ca]	[MAPK_star]	[protein]
4408	0.00543082	5e-05	0.0305034	0.08	0.00412943	5.19091e-06
4409	0.00543081	5e-05	0.0305034	0.08	0.00412943	5.19091e-06
4410	0.0054308	5e-05	0.0305034	0.08	0.00412943	5.19091e-06
4411	0.00543079	5e-05	0.0305034	0.08	0.00412943	5.19091e-06
4412	0.00543078	5e-05	0.0305034	0.08	0.00412943	5.19091e-06
4413	0.00543078	5e-05	0.0305034	0.08	0.00412943	5.19091e-06
4414	0.00543077	5e-05	0.0305034	0.08	0.00412942	5.19091e-06
4415	0.00543076	5e-05	0.0305034	0.08	0.00412942	5.19091e-06
4416	0.00543075	5e-05	0.0305034	0.08	0.00412942	5.19091e-06
4417	0.00543074	5e-05	0.0305034	0.08	0.00412942	5.19091e-06
4418	0.00543074	5e-05	0.0305034	0.08	0.00412942	5.19091e-06
4419	0.00543073	5e-05	0.0305034	0.08	0.00412942	5.19091e-06
4420	0.00543072	5e-05	0.0305034	0.08	0.00412942	5.19091e-06
4421	0.00543071	5e-05	0.0305034	0.08	0.00412942	5.19091e-06
4422	0.0054307	5e-05	0.0305034	0.08	0.00412942	5.19092e-06
4423	0.0054307	5e-05	0.0305034	0.08	0.00412942	5.19092e-06
4424	0.00543069	5e-05	0.0305034	0.08	0.00412942	5.19092e-06
4425	0.00543068	5e-05	0.0305034	0.08	0.00412942	5.19092e-06
4426	0.00543067	5e-05	0.0305034	0.08	0.00412942	5.19092e-06
4427	0.00543067	5e-05	0.0305034	0.08	0.00412942	5.19092e-06
4428	0.00543066	5e-05	0.0305034	0.08	0.00412942	5.19092e-06
4429	0.00543065	5e-05	0.0305034	0.08	0.00412942	5.19092e-06
4430	0.00543064	5e-05	0.0305034	0.08	0.00412942	5.19092e-06
4431	0.00543063	5e-05	0.0305034	0.08	0.00412942	5.19092e-06
4432	0.00543063	5e-05	0.0305034	0.08	0.00412942	5.19092e-06
4433	0.00543062	5e-05	0.0305034	0.08	0.00412942	5.19092e-06
4434	0.00543061	5e-05	0.0305034	0.08	0.00412942	5.19092e-06
4435	0.0054306	5e-05	0.0305034	0.08	0.00412942	5.19092e-06
4436	0.0054306	5e-05	0.0305034	0.08	0.00412942	5.19092e-06
4437	0.00543059	5e-05	0.0305034	0.08	0.00412942	5.19092e-06
4438	0.00543058	5e-05	0.0305034	0.08	0.00412942	5.19092e-06
4439	0.00543057	5e-05	0.0305034	0.08	0.00412942	5.19092e-06
4440	0.00543057	5e-05	0.0305034	0.08	0.00412942	5.19092e-06
4441	0.00543056	5e-05	0.0305034	0.08	0.00412942	5.19092e-06
4442	0.00543055	5e-05	0.0305034	0.08	0.00412942	5.19092e-06
4443	0.00543054	5e-05	0.0305034	0.08	0.00412942	5.19092e-06
4444	0.00543053	5e-05	0.0305034	0.08	0.00412942	5.19092e-06
4445	0.00543053	5e-05	0.0305034	0.08	0.00412942	5.19092e-06
4446	0.00543052	5e-05	0.0305034	0.08	0.00412942	5.19093e-06
4447	0.00543051	5e-05	0.0305034	0.08	0.00412942	5.19093e-06
4448	0.0054305	5e-05	0.0305034	0.08	0.00412942	5.19093e-06
4449	0.0054305	5e-05	0.0305034	0.08	0.00412942	5.19093e-06
4450	0.00543049	5e-05	0.0305034	0.08	0.00412942	5.19093e-06
4451	0.00543048	5e-05	0.0305034	0.08	0.00412942	5.19093e-06
4452	0.00543047	5e-05	0.0305033	0.08	0.00412942	5.19093e-06
4453	0.00543047	5e-05	0.0305033	0.08	0.00412942	5.19093e-06
4454	0.00543046	5e-05	0.0305033	0.08	0.00412942	5.19093e-06
4455	0.00543045	5e-05	0.0305033	0.08	0.00412942	5.19093e-06
4456	0.00543044	5e-05	0.0305033	0.08	0.00412942	5.19093e-06
4457	0.00543044	5e-05	0.0305033	0.08	0.00412941	5.19093e-06
4458	0.00543043	5e-05	0.0305033	0.08	0.00412941	5.19093e-06
4459	0.00543042	5e-05	0.0305033	0.08	0.00412941	5.19093e-06
4460	0.00543041	5e-05	0.0305033	0.08	0.00412941	5.19093e-06
4461	0.00543041	5e-05	0.0305033	0.08	0.00412941	5.19093e-06
4462	0.0054304	5e-05	0.0305033	0.08	0.00412941	5.19093e-06
4463	0.00543039	5e-05	0.0305033	0.08	0.00412941	5.19093e-06
4464	0.00543038	5e-05	0.0305033	0.08	0.00412941	5.19093e-06
4465	0.00543038	5e-05	0.0305033	0.08	0.00412941	5.19093e-06
4466	0.00543037	5e-05	0.0305033	0.08	0.00412941	5.19093e-06
4467	0.00543036	5e-05	0.0305033	0.08	0.00412941	5.19093e-06
4468	0.00543035	5e-05	0.0305033	0.08	0.00412941	5.19093e-06
4469	0.00543035	5e-05	0.0305033	0.08	0.00412941	5.19093e-06
4470	0.00543034	5e-05	0.0305033	0.08	0.00412941	5.19093e-06
4471	0.00543033	5e-05	0.0305033	0.08	0.00412941	5.19093e-06
4472	0.00543032	5e-05	0.0305033	0.08	0.00412941	5.19093e-06
4473	0.00543032	5e-05	0.0305033	0.08	0.00412941	5.19093e-06
4474	0.00543031	5e-05	0.0305033	0.08	0.00412941	5.19093e-06
4475	0.0054303	5e-05	0.0305033	0.08	0.00412941	5.19093e-06
4476	0.00543029	5e-05	0.0305033	0.08	0.00412941	5.19093e-06
4477	0.00543029	5e-05	0.0305033	0.08	0.00412941	5.19093e-06
4478	0.00543028	5e-05	0.0305033	0.08	0.00412941	5.19093e-06
4479	0.00543027	5e-05	0.0305033	0.08	0.00412941	5.19093e-06
4480	0.00543026	5e-05	0.0305033	0.08	0.00412941	5.19093e-06
4481	0.00543026	5e-05	0.0305033	0.08	0.00412941	5.19094e-06
4482	0.00543025	5e-05	0.0305033	0.08	0.00412941	5.19094e-06
4483	0.00543024	5e-05	0.0305033	0.08	0.00412941	5.19094e-06
4484	0.00543024	5e-05	0.0305033	0.08	0.00412941	5.19094e-06
4485	0.00543023	5e-05	0.0305033	0.08	0.00412941	5.19094e-06
4486	0.00543022	5e-05	0.0305033	0.08	0.00412941	5.19094e-06
4487	0.00543021	5e-05	0.0305033	0.08	0.00412941	5.19094e-06
4488	0.00543021	5e-05	0.0305033	0.08	0.00412941	5.19094e-06
4489	0.0054302	5e-05	0.0305033	0.08	0.00412941	5.19094e-06
4490	0.00543019	5e-05	0.0305033	0.08	0.00412941	5.19094e-06
4491	0.00543018	5e-05	0.0305033	0.08	0.00412941	5.19094e-06
4492	0.00543018	5e-05	0.0305033	0.08	0.00412941	5.19094e-06
4493	0.00543017	5e-05	0.0305032	0.08	0.00412941	5.19094e-06
4494	0.00543016	5e-05	0.0305032	0.08	0.00412941	5.19094e-06
4495	0.00543016	5e-05	0.0305032	0.08	0.00412941	5.19094e-06
4496	0.00543015	5e-05	0.0305032	0.08	0.00412941	5.19094e-06
4497	0.00543014	5e-05	0.0305032	0.08	0.00412941	5.19094e-06
4498	0.00543013	5e-05	0.0305032	0.08	0.00412941	5.19094e-06
4499	0.00543013	5e-05	0.0305032	0.08	0.00412941	5.19094e-06
4500	0.00543012	5e-05	0.0305032	0.08	0.00412941	5.19094e-06
4501	0.00543011	5e-05	0.0305032	0.08	0.00412941	5.19094e-06
4502	0.00543011	5e-05	0.0305032	0.08	0.0041294	5.19094e-06
4503	0.0054301	5e-05	0.0305032	0.08	0.0041294	5.19094e-06
4504	0.00543009	5e-05	0.0305032	0.08	0.0041294	5.19094e-06
4505	0.00543008	5e-05	0.0305032	0.08	0.0041294	5.19094e-06
4506	0.00543008	5e-05	0.0305032	0.08	0.0041294	5.19094e-06
4507	0.00543007	5e-05	0.0305032	0.08	0.0041294	5.19094e-06
4508	0.00543006	5e-05	0.0305032	0.08	0.0041294	5.19094e-06
4509	0.00543006	5e-05	0.0305032	0.08	0.0041294	5.19094e-06
4510	0.00543005	5e-05	0.0305032	0.08	0.0041294	5.19094e-06
4511	0.00543004	5e-05	0.0305032	0.08	0.0041294	5.19094e-06
4512	0.00543003	5e-05	0.0305032	0.08	0.0041294	5.19094e-06
4513	0.00543003	5e-05	0.0305032	0.08	0.0041294	5.19094e-06
4514	0.00543002	5e-05	0.0305032	0.08	0.0041294	5.19094e-06
4515	0.00543001	5e-05	0.0305032	0.08	0.0041294	5.19094e-06
4516	0.00543001	5e-05	0.0305032	0.08	0.0041294	5.19094e-06
4517	0.00543	5e-05	0.0305032	0.08	0.0041294	5.19094e-06
4518	0.00542999	5e-05	0.0305032	0.08	0.0041294	5.19094e-06
4519	0.00542998	5e-05	0.0305032	0.08	0.0041294	5.19094e-06
4520	0.00542998	5e-05	0.0305032	0.08	0.0041294	5.19094e-06
4521	0.00542997	5e-05	0.0305032	0.08	0.0041294	5.19094e-06
4522	0.00542996	5e-05	0.0305032	0.08	0.0041294	5.19094e-06
4523	0.00542996	5e-05	0.0305032	0.08	0.0041294	5.19094e-06
4524	0.00542995	5e-05	0.0305032	0.08	0.0041294	5.19094e-06
4525	0.00542994	5e-05	0.0305032	0.08	0.0041294	5.19094e-06
4526	0.00542994	5e-05	0.0305032	0.08	0.0041294	5.19094e-06
4527	0.00542993	5e-05	0.0305032	0.08	0.0041294	5.19094e-06
4528	0.00542992	5e-05	0.0305032	0.08	0.0041294	5.19094e-06
4529	0.00542991	5e-05	0.0305032	0.08	0.0041294	5.19094e-06
4530	0.00542991	5e-05	0.0305032	0.08	0.0041294	5.19094e-06
4531	0.0054299	5e-05	0.0305031	0.08	0.0041294	5.19094e-06
4532	0.00542989	5e-05	0.0305031	0.08	0.0041294	5.19094e-06
4533	0.00542989	5e-05	0.0305031	0.08	0.0041294	5.19094e-06
4534	0.00542988	5e-05	0.0305031	0.08	0.0041294	5.19094e-06
4535	0.00542987	5e-05	0.0305031	0.08	0.0041294	5.19094e-06
4536	0.00542987	5e-05	0.0305031	0.08	0.0041294	5.19094e-06
4537	0.00542986	5e-05	0.0305031	0.08	0.0041294	5.19094e-06
4538	0.00542985	5e-05	0.0305031	0.08	0.0041294	5.19094e-06
4539	0.00542985	5e-05	0.0305031	0.08	0.0041294	5.19094e-06
4540	0.00542984	5e-05	0.0305031	0.08	0.0041294	5.19094e-06
4541	0.00542983	5e-05	0.0305031	0.08	0.0041294	5.19094e-06
4542	0.00542982	5e-05	0.0305031	0.08	0.0041294	5.19094e-06
4543	0.00542982	5e-05	0.0305031	0.08	0.0041294	5.19094e-06
4544	0.00542981	5e-05	0.0305031	0.08	0.0041294	5.19094e-06
4545	0.0054298	5e-05	0.0305031	0.08	0.0041294	5.19094e-06
4546	0.0054298	5e-05	0.0305031	0.08	0.0041294	5.19094e-06
4547	0.00542979	5e-05	0.0305031	0.08	0.0041294	5.19094e-06
4548	0.00542978	5e-05	0.0305031	0.08	0.0041294	5.19094e-06
4549	0.00542978	5e-05	0.0305031	0.08	0.00412939	5.19094e-06
4550	0.00542977	5e-05	0.0305031	0.08	0.00412939	5.19094e-06
4551	0.00542976	5e-05	0.0305031	0.08	0.00412939	5.19094e-06
4552	0.00542976	5e-05	0.0305031	0.08	0.00412939	5.19094e-06
4553	0.00542975	5e-05	0.0305031	0.08	0.00412939	5.19094e-06
4554	0.00542974	5e-05	0.0305031	0.08	0.00412939	5.19094e-06
4555	0.00542974	5e-05	0.0305031	0.08	0.00412939	5.19094e-06
4556	0.00542973	5e-05	0.0305031	0.08	0.00412939	5.19094e-06
4557	0.00542972	5e-05	0.0305031	0.08	0.00412939	5.19094e-06
4558	0.00542972	5e-05	0.0305031	0.08	0.00412939	5.19094e-06
4559	0.00542971	5e-05	0.0305031	0.08	0.00412939	5.19094e-06
4560	0.0054297	5e-05	0.0305031	0.08	0.00412939	5.19094e-06
4561	0.0054297	5e-05	0.0305031	0.08	0.00412939	5.19094e-06
4562	0.00542969	5e-05	0.0305031	0.08	0.00412939	5.19094e-06
4563	0.00542968	5e-05	0.0305031	0.08	0.00412939	5.19094e-06
4564	0.00542968	5e-05	0.0305031	0.08	0.00412939	5.19094e-06
4565	0.00542967	5e-05	0.0305031	0.08	0.00412939	5.19094e-06
4566	0.00542966	5e-05	0.0305031	0.08	0.00412939	5.19094e-06
4567	0.00542966	5e-05	0.030503	0.08	0.00412939	5.19094e-06
